06/Jan/2021:06:15:00,0
06/Jan/2021:06:40:00,0
06/Jan/2021:07:05:00,20
06/Jan/2021:07:30:00,0
06/Jan/2021:07:55:00,4
06/Jan/2021:08:20:00,0
06/Jan/2021:08:45:00,0
06/Jan/2021:09:10:00,20
06/Jan/2021:09:35:00,0
06/Jan/2021:10:00:00,0
06/Jan/2021:10:25:00,0
06/Jan/2021:10:50:00,2
06/Jan/2021:11:15:00,223
06/Jan/2021:11:40:00,4
06/Jan/2021:12:05:00,44
06/Jan/2021:12:30:00,8
06/Jan/2021:12:55:00,3
06/Jan/2021:13:20:00,220
06/Jan/2021:13:45:00,0
06/Jan/2021:14:10:00,721
06/Jan/2021:14:35:00,0
06/Jan/2021:15:00:00,1
06/Jan/2021:15:25:00,91
06/Jan/2021:15:50:00,1
06/Jan/2021:16:15:00,5
06/Jan/2021:16:40:00,200
06/Jan/2021:17:05:00,16
06/Jan/2021:17:30:00,16
06/Jan/2021:17:55:00,262
06/Jan/2021:18:20:00,265
06/Jan/2021:18:45:00,0
06/Jan/2021:19:10:00,828
06/Jan/2021:19:35:00,970
06/Jan/2021:20:00:00,0
06/Jan/2021:20:25:00,11
06/Jan/2021:20:50:00,0
06/Jan/2021:21:15:00,0
06/Jan/2021:21:40:00,1
06/Jan/2021:22:05:00,0
06/Jan/2021:22:30:00,1
06/Jan/2021:22:55:00,4
06/Jan/2021:23:20:00,8
06/Jan/2021:23:45:00,4
07/Jan/2021:00:10:00,5
07/Jan/2021:00:35:00,0
07/Jan/2021:01:00:00,5760
07/Jan/2021:01:25:00,1
07/Jan/2021:01:50:00,2
07/Jan/2021:02:15:00,1
07/Jan/2021:02:40:00,0
07/Jan/2021:03:05:00,4
07/Jan/2021:03:30:00,416
07/Jan/2021:03:55:00,2
07/Jan/2021:04:20:00,2
07/Jan/2021:04:45:00,1
07/Jan/2021:05:10:00,32
07/Jan/2021:05:35:00,5
07/Jan/2021:06:00:00,24
07/Jan/2021:06:25:00,37
07/Jan/2021:06:50:00,20
07/Jan/2021:07:15:00,0
07/Jan/2021:07:40:00,136
07/Jan/2021:08:05:00,1
07/Jan/2021:08:30:00,2
07/Jan/2021:08:55:00,1
07/Jan/2021:09:20:00,0
07/Jan/2021:09:45:00,4
07/Jan/2021:10:10:00,62
07/Jan/2021:10:35:00,334
07/Jan/2021:11:00:00,69
07/Jan/2021:11:25:00,38
07/Jan/2021:11:50:00,14
07/Jan/2021:12:15:00,276
07/Jan/2021:12:40:00,36
07/Jan/2021:13:05:00,23
07/Jan/2021:13:30:00,5
07/Jan/2021:13:55:00,8
07/Jan/2021:14:20:00,5
07/Jan/2021:14:45:00,0
07/Jan/2021:15:10:00,40
07/Jan/2021:15:35:00,602
07/Jan/2021:16:00:00,311
07/Jan/2021:16:25:00,3004
07/Jan/2021:16:50:00,8
07/Jan/2021:17:15:00,352
07/Jan/2021:17:40:00,173
07/Jan/2021:18:05:00,330
07/Jan/2021:18:30:00,358
07/Jan/2021:18:55:00,4
07/Jan/2021:19:20:00,0
07/Jan/2021:19:45:00,0
07/Jan/2021:20:10:00,0
07/Jan/2021:20:35:00,18
07/Jan/2021:21:00:00,80
07/Jan/2021:21:25:00,84
07/Jan/2021:21:50:00,200
07/Jan/2021:22:15:00,0
07/Jan/2021:22:40:00,4
07/Jan/2021:23:05:00,4
07/Jan/2021:23:30:00,40
07/Jan/2021:23:55:00,0
08/Jan/2021:00:20:00,45
08/Jan/2021:00:45:00,246
08/Jan/2021:01:10:00,40
08/Jan/2021:01:35:00,40
08/Jan/2021:02:00:00,164
08/Jan/2021:02:25:00,63
08/Jan/2021:02:50:00,138
08/Jan/2021:03:15:00,2
08/Jan/2021:03:40:00,311
08/Jan/2021:04:05:00,416
08/Jan/2021:04:30:00,18
08/Jan/2021:04:55:00,1021
08/Jan/2021:05:20:00,679
08/Jan/2021:05:45:00,295
08/Jan/2021:06:10:00,186
08/Jan/2021:06:35:00,169
08/Jan/2021:07:00:00,176
08/Jan/2021:07:25:00,131
08/Jan/2021:07:50:00,0
08/Jan/2021:08:15:00,4
08/Jan/2021:08:40:00,20
08/Jan/2021:09:05:00,0
08/Jan/2021:09:30:00,0
08/Jan/2021:09:55:00,0
08/Jan/2021:10:20:00,340
08/Jan/2021:10:45:00,20
08/Jan/2021:11:10:00,21
08/Jan/2021:11:35:00,212
08/Jan/2021:12:00:00,5
08/Jan/2021:12:25:00,588
08/Jan/2021:12:50:00,1190
08/Jan/2021:13:15:00,491
08/Jan/2021:13:40:00,391
08/Jan/2021:14:05:00,209
08/Jan/2021:14:30:00,189
08/Jan/2021:14:55:00,16
08/Jan/2021:15:20:00,41
08/Jan/2021:15:45:00,9
08/Jan/2021:16:10:00,4
08/Jan/2021:16:35:00,888
08/Jan/2021:17:00:00,101
08/Jan/2021:17:25:00,2817
08/Jan/2021:17:50:00,5
08/Jan/2021:18:15:00,13
08/Jan/2021:18:40:00,112
08/Jan/2021:19:05:00,68
08/Jan/2021:19:30:00,116
08/Jan/2021:19:55:00,912
08/Jan/2021:20:20:00,800
08/Jan/2021:20:45:00,480
08/Jan/2021:21:10:00,110
08/Jan/2021:21:35:00,181
08/Jan/2021:22:00:00,201
08/Jan/2021:22:25:00,201
08/Jan/2021:22:50:00,135
08/Jan/2021:23:15:00,0
08/Jan/2021:23:40:00,25
09/Jan/2021:00:05:00,0
09/Jan/2021:00:30:00,0
09/Jan/2021:00:55:00,4
09/Jan/2021:01:20:00,40
09/Jan/2021:01:45:00,0
09/Jan/2021:02:10:00,0
09/Jan/2021:02:35:00,0
09/Jan/2021:03:00:00,0
09/Jan/2021:03:25:00,2812
09/Jan/2021:03:50:00,60
09/Jan/2021:04:15:00,0
09/Jan/2021:04:40:00,0
09/Jan/2021:05:05:00,0
09/Jan/2021:05:30:00,0
09/Jan/2021:05:55:00,0
09/Jan/2021:06:20:00,0
09/Jan/2021:06:45:00,864
09/Jan/2021:07:10:00,0
09/Jan/2021:07:35:00,0
09/Jan/2021:08:00:00,0
09/Jan/2021:08:25:00,0
09/Jan/2021:08:50:00,0
09/Jan/2021:09:15:00,4
09/Jan/2021:09:40:00,0
09/Jan/2021:10:05:00,0
09/Jan/2021:10:30:00,5
09/Jan/2021:10:55:00,4
09/Jan/2021:11:20:00,2
09/Jan/2021:11:45:00,4
09/Jan/2021:12:10:00,60
09/Jan/2021:12:35:00,4
09/Jan/2021:13:00:00,100
09/Jan/2021:13:25:00,193
09/Jan/2021:13:50:00,457
09/Jan/2021:14:15:00,5
09/Jan/2021:14:40:00,3
09/Jan/2021:15:05:00,72
09/Jan/2021:15:30:00,3
09/Jan/2021:15:55:00,0
09/Jan/2021:16:20:00,4
09/Jan/2021:16:45:00,2322
09/Jan/2021:17:10:00,0
09/Jan/2021:17:35:00,14
